L,F,vol_targeting,rt_bps,window,net_ann_pct,sharpe,maxdd_pct,pf,monthly_mean_pct,n_trades,n_days
63,5,False,1.0,proxy_DISCOVERY_2000_2018,12.076,0.816,-28.015,3.087,1.0516,73,4634
63,5,False,1.0,proxy_CONFIRM_2019_2024,-4.189,-0.22,-46.363,0.811,-0.2619,46,1492
63,5,False,1.0,real_check_WDO_ADJprop_2021H2_2024,-1.84,-0.051,-33.615,0.896,-0.0628,21,798
63,5,False,1.5,proxy_DISCOVERY_2000_2018,12.032,0.814,-28.116,3.074,1.0485,73,4634
63,5,False,1.5,proxy_CONFIRM_2019_2024,-4.262,-0.225,-46.497,0.807,-0.268,46,1492
63,5,False,1.5,real_check_WDO_ADJprop_2021H2_2024,-1.903,-0.056,-33.682,0.891,-0.0679,21,798
63,5,False,2.0,proxy_DISCOVERY_2000_2018,11.988,0.811,-28.217,3.061,1.0453,73,4634
63,5,False,2.0,proxy_CONFIRM_2019_2024,-4.335,-0.23,-46.631,0.803,-0.2741,46,1492
63,5,False,2.0,real_check_WDO_ADJprop_2021H2_2024,-1.967,-0.06,-33.748,0.886,-0.073,21,798
63,5,True,1.0,proxy_DISCOVERY_2000_2018,10.466,0.917,-27.617,1.381,0.891,924,4634
63,5,True,1.0,proxy_CONFIRM_2019_2024,-0.572,0.004,-27.279,1.005,0.0114,300,1492
63,5,True,1.0,real_check_WDO_ADJprop_2021H2_2024,1.498,0.193,-19.844,1.073,0.1611,160,798
63,5,True,1.5,proxy_DISCOVERY_2000_2018,10.391,0.911,-27.714,1.378,0.8855,924,4634
63,5,True,1.5,proxy_CONFIRM_2019_2024,-0.652,-0.003,-27.421,1.002,0.0049,300,1492
63,5,True,1.5,real_check_WDO_ADJprop_2021H2_2024,1.433,0.187,-19.892,1.07,0.1559,160,798
63,5,True,2.0,proxy_DISCOVERY_2000_2018,10.316,0.905,-27.811,1.375,0.8799,924,4634
63,5,True,2.0,proxy_CONFIRM_2019_2024,-0.731,-0.01,-27.562,1.0,-0.0016,300,1492
63,5,True,2.0,real_check_WDO_ADJprop_2021H2_2024,1.367,0.181,-19.939,1.068,0.1507,160,798
63,21,False,1.0,proxy_DISCOVERY_2000_2018,9.74,0.679,-23.727,2.981,0.879,47,4634
63,21,False,1.0,proxy_CONFIRM_2019_2024,4.989,0.406,-21.583,2.05,0.4959,22,1492
63,21,False,1.0,real_check_WDO_ADJprop_2021H2_2024,0.793,0.127,-25.652,1.164,0.1372,11,798
63,21,False,1.5,proxy_DISCOVERY_2000_2018,9.713,0.678,-23.758,2.972,0.877,47,4634
63,21,False,1.5,proxy_CONFIRM_2019_2024,4.952,0.404,-21.646,2.039,0.493,22,1492
63,21,False,1.5,real_check_WDO_ADJprop_2021H2_2024,0.76,0.125,-25.681,1.159,0.1346,11,798
63,21,False,2.0,proxy_DISCOVERY_2000_2018,9.685,0.676,-23.788,2.963,0.875,47,4634
63,21,False,2.0,proxy_CONFIRM_2019_2024,4.914,0.401,-21.708,2.029,0.4901,22,1492
63,21,False,2.0,real_check_WDO_ADJprop_2021H2_2024,0.726,0.123,-25.711,1.154,0.132,11,798
63,21,True,1.0,proxy_DISCOVERY_2000_2018,9.037,0.753,-24.801,1.689,0.7914,221,4634
63,21,True,1.0,proxy_CONFIRM_2019_2024,5.317,0.511,-14.027,1.457,0.4973,72,1492
63,21,True,1.0,real_check_WDO_ADJprop_2021H2_2024,4.897,0.493,-14.335,1.512,0.4304,38,798
63,21,True,1.5,proxy_DISCOVERY_2000_2018,8.996,0.75,-25.032,1.686,0.7883,221,4634
63,21,True,1.5,proxy_CONFIRM_2019_2024,5.277,0.507,-14.036,1.454,0.4942,72,1492
63,21,True,1.5,real_check_WDO_ADJprop_2021H2_2024,4.863,0.49,-14.355,1.509,0.4277,38,798
63,21,True,2.0,proxy_DISCOVERY_2000_2018,8.955,0.747,-25.263,1.682,0.7853,221,4634
63,21,True,2.0,proxy_CONFIRM_2019_2024,5.236,0.504,-14.045,1.451,0.491,72,1492
63,21,True,2.0,real_check_WDO_ADJprop_2021H2_2024,4.829,0.487,-14.374,1.505,0.4251,38,798
126,5,False,1.0,proxy_DISCOVERY_2000_2018,13.263,0.881,-24.686,8.675,1.1372,40,4571
126,5,False,1.0,proxy_CONFIRM_2019_2024,2.574,0.247,-30.409,1.413,0.2888,27,1492
126,5,False,1.0,real_check_WDO_ADJprop_2021H2_2024,3.796,0.327,-20.735,1.646,0.3835,11,735
126,5,False,1.5,proxy_DISCOVERY_2000_2018,13.238,0.88,-24.738,8.625,1.1354,40,4571
126,5,False,1.5,proxy_CONFIRM_2019_2024,2.529,0.244,-30.5,1.407,0.2853,27,1492
126,5,False,1.5,real_check_WDO_ADJprop_2021H2_2024,3.758,0.324,-20.767,1.639,0.3806,11,735
126,5,False,2.0,proxy_DISCOVERY_2000_2018,13.213,0.878,-24.791,8.577,1.1337,40,4571
126,5,False,2.0,proxy_CONFIRM_2019_2024,2.484,0.241,-30.59,1.402,0.2817,27,1492
126,5,False,2.0,real_check_WDO_ADJprop_2021H2_2024,3.721,0.322,-20.798,1.632,0.3778,11,735
126,5,True,1.0,proxy_DISCOVERY_2000_2018,12.37,1.065,-17.507,1.447,1.0355,912,4571
126,5,True,1.0,proxy_CONFIRM_2019_2024,2.327,0.262,-22.31,1.096,0.2503,299,1492
126,5,True,1.0,real_check_WDO_ADJprop_2021H2_2024,3.526,0.381,-13.412,1.159,0.3217,147,735
126,5,True,1.5,proxy_DISCOVERY_2000_2018,12.313,1.06,-17.516,1.445,1.0313,912,4571
126,5,True,1.5,proxy_CONFIRM_2019_2024,2.27,0.257,-22.405,1.094,0.2457,299,1492
126,5,True,1.5,real_check_WDO_ADJprop_2021H2_2024,3.481,0.376,-13.437,1.157,0.3182,147,735
126,5,True,2.0,proxy_DISCOVERY_2000_2018,12.257,1.056,-17.526,1.443,1.0272,912,4571
126,5,True,2.0,proxy_CONFIRM_2019_2024,2.213,0.252,-22.5,1.093,0.2412,299,1492
126,5,True,2.0,real_check_WDO_ADJprop_2021H2_2024,3.436,0.372,-13.461,1.155,0.3147,147,735
126,21,False,1.0,proxy_DISCOVERY_2000_2018,13.332,0.885,-26.813,16.208,1.1404,16,4571
126,21,False,1.0,proxy_CONFIRM_2019_2024,2.684,0.254,-36.621,1.533,0.3092,17,1492
126,21,False,1.0,real_check_WDO_ADJprop_2021H2_2024,4.571,0.377,-15.44,2.193,0.439,7,735
126,21,False,1.5,proxy_DISCOVERY_2000_2018,13.322,0.884,-26.827,16.171,1.1397,16,4571
126,21,False,1.5,proxy_CONFIRM_2019_2024,2.656,0.252,-36.677,1.528,0.307,17,1492
126,21,False,1.5,real_check_WDO_ADJprop_2021H2_2024,4.547,0.376,-15.457,2.184,0.4372,7,735
126,21,False,2.0,proxy_DISCOVERY_2000_2018,13.312,0.884,-26.842,16.134,1.139,16,4571
126,21,False,2.0,proxy_CONFIRM_2019_2024,2.628,0.251,-36.734,1.524,0.3048,17,1492
126,21,False,2.0,real_check_WDO_ADJprop_2021H2_2024,4.524,0.374,-15.474,2.176,0.4354,7,735
126,21,True,1.0,proxy_DISCOVERY_2000_2018,12.767,1.019,-21.452,2.044,1.0676,218,4571
126,21,True,1.0,proxy_CONFIRM_2019_2024,3.077,0.322,-26.981,1.272,0.3185,72,1492
126,21,True,1.0,real_check_WDO_ADJprop_2021H2_2024,6.769,0.66,-9.639,1.736,0.5779,35,735
126,21,True,1.5,proxy_DISCOVERY_2000_2018,12.738,1.017,-21.467,2.042,1.0655,218,4571
126,21,True,1.5,proxy_CONFIRM_2019_2024,3.046,0.32,-27.037,1.27,0.3161,72,1492
126,21,True,1.5,real_check_WDO_ADJprop_2021H2_2024,6.741,0.657,-9.66,1.732,0.5757,35,735
126,21,True,2.0,proxy_DISCOVERY_2000_2018,12.71,1.015,-21.481,2.039,1.0634,218,4571
126,21,True,2.0,proxy_CONFIRM_2019_2024,3.016,0.317,-27.094,1.267,0.3137,72,1492
126,21,True,2.0,real_check_WDO_ADJprop_2021H2_2024,6.713,0.655,-9.681,1.728,0.5736,35,735
