test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,hold_rate_round,hold_rate_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo
T1_bounce,WIN,g500,M5,discovery,620,637,0.7442148256716111,1.0706106128535706,-0.3263957871819595,-3.7198806588042572,3.3343918964738184,30,0.432258064516129,0.4489795918367347,-0.1671232012416778,1.3024669487190517,0.2011409343695775,0.2818613185667634
T1_bounce,WIN,g500,M5,confirm,508,495,-0.19722476879424636,1.7865412485459218,-1.983766017340168,-4.627659259806792,0.5290601941281786,30,0.43503937007874016,0.4484848484848485,-0.5396607803693934,0.594724861008652,0.8042702298290902,1.5350003251427018
T1_bounce,WIN,g1000,M5,discovery,296,324,0.6452718022151153,0.8346072174713722,-0.18933541525625697,-4.6850846606019845,4.71297629876071,30,0.41216216216216217,0.4506172839506173,0.42944673797800703,-0.7121377136152166,1.4772657401235343,-0.9647014807636676
T1_bounce,WIN,g1000,M5,confirm,261,247,-0.2803448509313094,-0.10939342694091245,-0.17095142399039695,-3.4059897748083023,3.4971737024742744,30,0.4559386973180077,0.41295546558704455,-0.21988223509480018,-0.87756442537615,0.5073303918442363,1.1180406659183488
T1_bounce,WIN,g500,M15,discovery,1310,1304,-0.5604775960333152,-0.6303597420785847,0.06988214604526954,-2.507498764151826,2.553333364859064,30,0.3816793893129771,0.39493865030674846,-0.845226528063265,-0.46611169641030337,-0.4666838807716753,-1.4646894630440537
T1_bounce,WIN,g500,M15,confirm,410,400,0.08438926153440997,0.7976133490618846,-0.7132240875274747,-3.3937088096910664,2.0513940854521047,30,0.3951219512195122,0.3775,-0.2007879286395722,0.5620253365456794,1.1567178196007646,0.06434382510898672
T1_bounce,WIN,g1000,M15,discovery,646,664,0.29381788163833295,-1.3916144613584425,1.6854323429967755,-1.643986019079372,4.912997755450988,30,0.3715170278637771,0.39156626506024095,0.14220694287383107,-1.8058922241858013,0.6873124928634444,-1.589397220181747
T1_bounce,WIN,g1000,M15,confirm,207,203,0.7862211636860071,-0.6312718406595839,1.417493004345591,-2.2986175783941407,5.031548574289406,30,0.4492753623188406,0.3399014778325123,0.5155809275244996,-0.9312724272896351,1.7266744438857522,0.5755305229160728
T1_bounce,WIN,g500,H1,discovery,725,726,-1.34394192597816,-2.569533185808468,1.225591259830308,-3.348976332187072,6.124305629463066,120,0.27586206896551724,0.28236914600550966,-0.10718008151371593,-3.2283137408880638,-1.6670055422043566,-4.341161894136723
T1_bounce,WIN,g500,H1,confirm,233,227,-1.3977017445522921,1.1755150498927247,-2.573216794445017,-7.659935989608266,2.707768965823266,120,0.296137339055794,0.2775330396475771,-0.8147051883475226,1.4690818696832666,-2.5570647292766107,-3.6912922046701793
T1_bounce,WIN,g1000,H1,discovery,356,369,-1.9991087030743575,-0.7118569052566249,-1.2872517978177327,-8.22350243032395,5.430368185526651,120,0.2752808988764045,0.2764227642276423,0.8797568036360487,-1.0593468324983124,-1.6193737925052172,-1.7129592085807614
T1_bounce,WIN,g1000,H1,confirm,118,115,0.25668717087175186,-3.0952486316830505,3.3519358025548023,-4.274563237206542,10.356636666903404,120,0.3135593220338983,0.2782608695652174,-1.3027270953674577,-0.31395227505750245,0.9821817168873216,-6.188639343601342
T1_bounce,WDO,g5,M5,discovery,1736,1759,0.5908896806815831,0.9559283700425846,-0.3650386893610015,-1.6483368190494025,1.0231127027859444,30,0.44182027649769584,0.4394542353610006,0.40683432218053084,0.5362522390585593,0.9951833866095735,1.3867354217595467
T1_bounce,WDO,g5,M5,confirm,1845,1831,-0.6005224386960434,-0.4855432642804668,-0.11497917441557659,-1.5531171174110472,1.1370501847360353,30,0.44878048780487806,0.4341889677771709,0.12664741143887376,0.2319700125604683,-0.5923435504833905,-0.12039910023947163
T1_bounce,WDO,g10,M5,discovery,859,877,0.581564036998552,0.6000239200472884,-0.01845988304873647,-1.8140657172482597,1.9140964889292131,30,0.4307334109429569,0.4526795895096921,0.4824984956859315,0.3327231191689697,0.6095743938811872,1.372877941630878
T1_bounce,WDO,g10,M5,confirm,915,930,-0.7227303685263403,-0.48028560450817004,-0.24244476401817028,-2.034019947971719,1.6605700789528144,30,0.4426229508196721,0.45483870967741935,-0.523274798276984,0.7660870048689918,-0.1447326538310754,-1.0327349165445396
T1_bounce,WDO,g5,M15,discovery,4205,4189,0.2029373353116667,0.417166356757469,-0.2142290214458023,-1.113574068070505,0.7267213604711601,30,0.40309155766944116,0.4017665313917403,0.1968459846822124,0.30447726999249003,0.29959217702759894,0.6031765362838504
T1_bounce,WDO,g5,M15,confirm,1462,1442,-0.5181069662381783,0.06921636535831914,-0.5873233315964974,-1.9114524999043538,0.6964192981905427,30,0.39398084815321477,0.39875173370319,0.19271728830307538,0.47383484036113177,-0.29675159728186634,0.18915322813184093
T1_bounce,WDO,g10,M15,discovery,2110,2095,0.07315379309297616,0.333650115302806,-0.2604963222098299,-1.612842658440617,1.0620496738346061,30,0.3938388625592417,0.4124105011933174,0.04049856751560236,0.35431283442996775,-0.08022558109163953,0.6821293940355195
T1_bounce,WDO,g10,M15,confirm,727,735,-0.4430983704206876,-0.5922991419651383,0.14920077154445072,-1.7407267653392848,2.219917920542629,30,0.38651994497936726,0.4013605442176871,-0.08268997730655192,0.4651269238108292,0.29889404314852247,-0.8859140198572297
T1_bounce,WDO,g5,H1,discovery,2121,2099,1.5146830343737128,1.3005878572580958,0.21409517711561699,-1.701337209504264,2.1781916239850356,120,0.29938708156529936,0.3053835159599809,0.8739519795093643,0.7314132259062167,1.195403437729468,0.8550792235789749
T1_bounce,WDO,g5,H1,confirm,762,732,-0.9579864767052509,-0.42199557948229016,-0.5359908972229608,-3.5696121649437336,2.1158685666953834,120,0.2926509186351706,0.28005464480874315,-0.3211689068844186,0.02946112871320702,-1.2273578924289892,-1.1083651875044636
T1_bounce,WDO,g10,H1,discovery,1071,1050,1.5376960149078958,1.4912097942288463,0.046486220679049506,-2.685221460731413,2.737435072866059,120,0.3081232492997199,0.2904761904761905,1.0213356478418245,0.7236206378102551,1.1725634624901042,1.2187002124736186
T1_bounce,WDO,g10,H1,confirm,369,393,0.22573123229572872,-2.069416081339758,2.2951473136354865,-1.9942619962213182,6.533916919407487,120,0.2872628726287263,0.29770992366412213,-0.16994696269310733,-0.4631559231861845,0.6524357227169869,-2.9923549509248284
