test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,range_horizon_min,fwd_vshort_round,fwd_vshort_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo,range_v_atr_round,range_v_atr_placebo,range_v_atr_diff,range_v_atr_ci_lo,range_v_atr_ci_hi
T2_cascade,WIN,g500,M5,discovery,564,573,-2.6305779770505544,-1.6839034821115033,-0.9466744949390511,-4.44006597605024,3.040476652055038,30,15,-1.8610573040162322,-0.8575181758439812,-2.659633571347647,-1.8851191208395641,-1.6836924812346938,-0.5064344793249334,0.2686358370716217,0.2633107084496432,0.005325128621978481,-0.013754429665025393,0.02544786623382715
T2_cascade,WIN,g500,M5,confirm,450,447,-0.6896963374598823,0.22897869537437665,-0.918675032834259,-3.7840215274043865,1.992775274043687,30,15,0.5651174381903706,0.42616767753787016,-0.08718246807682568,0.01174335715972702,-0.6709969190879452,-0.9269821319631386,0.2722508453876271,0.25881392793469543,0.013436917452931685,-0.013040951131769072,0.038353270027116096
T2_cascade,WIN,g1000,M5,discovery,287,277,-4.938690934983924,-0.23913964157446171,-4.6995512934094625,-10.062469952395091,0.956554857664003,30,15,-2.536534963117639,-1.1611941698570127,-3.7295171143803487,-1.5511260736928263,-3.4563936062969183,0.15300507433519264,0.26542768258886096,0.27195980940574555,-0.006532126816884587,-0.0348223858098744,0.021859337156083236
T2_cascade,WIN,g1000,M5,confirm,224,226,-0.7930790014345896,-0.5872285643168101,-0.2058504371177795,-4.585800951608889,3.96853724009908,30,15,0.5204154400359233,0.6094238434407958,0.43217492183113354,-0.6019437748882549,-1.225220926010453,-0.121677549394841,0.2716549545115324,0.2728414628931371,-0.0011865083816047228,-0.03891717032606595,0.03758359188781148
T2_cascade,WIN,g500,M15,discovery,1330,1324,-0.2938073000469328,0.5065884127774175,-0.8003957128243503,-3.20430800734715,1.6179130780505369,30,15,0.0,0.0,0.3363691096158616,0.47420372815403095,-0.22477399304003626,0.2121794266625364,0.3211590668766953,0.3248720158771667,-0.003712949000471366,-0.018393417622026866,0.010112664135668295
T2_cascade,WIN,g500,M15,confirm,404,416,-0.952671904333886,-0.43838955697622384,-0.5142823473576622,-3.091859578844387,2.4434832286814134,30,15,0.0,0.0,-1.2414001771484007,-0.119021004439155,-0.9394079667258602,-1.1296336816314887,0.337775471734379,0.33692175463319063,0.0008537171011883671,-0.031078918077889522,0.03547482834773539
T2_cascade,WIN,g1000,M15,discovery,667,663,-0.03200555562642316,-0.5571885421713363,0.5251829865449131,-3.1409215042471335,4.129595998056841,30,15,0.0,0.0,-0.11322225701430653,0.7886729430130293,1.0422469345277394,-1.4994390890999256,0.3231739738756578,0.31913200357607985,0.004041970299577979,-0.01560267193568187,0.023746949166438436
T2_cascade,WIN,g1000,M15,confirm,199,205,-1.4636127385006656,-0.45668543604515927,-1.0069273024555063,-5.299308570231169,3.1942360070137323,30,15,0.0,0.0,-1.6636312452348159,-0.8315270915425634,-2.4668294015100147,0.543308450454856,0.3488638651742171,0.3270116166391216,0.021852248535095486,-0.02452213155578641,0.06969303472977127
T2_cascade,WIN,g500,H1,discovery,1054,1042,1.659446770218238,1.622814703331989,0.03663206688624898,-4.7144183328918645,4.156708557181425,120,60,0.0,0.0,1.089047135197291,0.969600353460356,1.310573835161935,-0.5891214433350656,0.5521037119167062,0.5558361145833522,-0.003732402666646095,-0.02716313703169462,0.02170224517743279
T2_cascade,WIN,g500,H1,confirm,300,304,-1.7597880984799272,1.0260351083344874,-2.7858232068144146,-7.594952077741015,1.7147869324758012,120,60,0.0,0.0,-3.0942793124022145,-0.9903308535472384,-1.037021228282682,1.556111030368915,0.5308295250923487,0.5356145188209652,-0.004784993728616516,-0.05451685866994238,0.04285649387868461
T2_cascade,WIN,g1000,H1,discovery,534,520,-0.33240940843318895,3.7049298459872024,-4.037339254420392,-10.016912628769898,2.019767341034086,120,60,0.0,0.0,0.2266171246620963,1.9746964152468955,1.7082024526347197,0.9022398318341128,0.5534955104285239,0.5506744419064933,0.0028210685220305676,-0.03221783107289193,0.0378502664777747
T2_cascade,WIN,g1000,H1,confirm,143,157,-1.8378509880624836,-1.6886862308983626,-0.14916475716412103,-6.453943329971657,6.180045616548789,120,60,0.0,0.0,-4.443663812456367,-1.8652220926076688,-1.8280343874702272,-0.31654427437300936,0.5374201334270556,0.5248266143161507,0.012593519110904894,-0.05890393098516341,0.08673466428425743
T2_cascade,WDO,g5,M5,discovery,1559,1552,-1.2566135997364591,-1.444681816212374,0.18806821647591487,-1.2456380385722852,1.579762517234612,30,15,-0.0759681526904587,-0.49041265215399776,-0.637432466875928,-0.9992619111511676,-1.2320999361492577,-1.6841096001874192,0.2739563409992807,0.2746415529248927,-0.0006852119256119948,-0.012044129089625214,0.010647136923589273
T2_cascade,WDO,g5,M5,confirm,1682,1674,0.2165193171952139,0.1672497932133161,0.049269523981897795,-1.275653755457148,1.43382849210984,30,15,-0.32956320993119537,-0.29051170239535706,-1.1026609466896222,-0.8523377535270096,-0.015238050271615717,-0.20452197584161727,0.28994398704272106,0.29257494785005506,-0.002630960807333993,-0.015952047210556184,0.009859731756451415
T2_cascade,WDO,g10,M5,discovery,780,779,-0.9505113042343302,-1.5631088378515565,0.6125975336172264,-1.374616079645111,2.537552957318219,30,15,0.15861166417441144,-0.3108490989736406,-0.3947264432586824,-0.8804500514991012,-0.571253976469173,-1.8937942218366346,0.27304657757351264,0.2748672722856723,-0.0018206947121596762,-0.017674559316267702,0.014631058947017826
T2_cascade,WDO,g10,M5,confirm,841,841,0.036490914325985134,0.39654772006444244,-0.36005680573845733,-2.3192659918228595,1.6109207800550935,30,15,-0.294912495772927,-0.36421392408946385,-0.9842765131667172,-1.2210453802125276,0.12120522841181403,-0.15168132895504538,0.28885400026660163,0.2910339738188405,-0.0021799735522388675,-0.020844784683477863,0.015955485833106953
T2_cascade,WDO,g5,M15,discovery,4125,4122,-0.729715680526276,-0.8507841542632919,0.1210684737370159,-0.995603315004573,1.1306317505183707,30,15,0.0,0.0,-0.6528037333949192,-0.7575853531137055,-1.54835241351622,-1.4389790249681595,0.33060076357742463,0.32993354039375095,0.0006672231836736819,-0.008098813221086605,0.009108901784235974
T2_cascade,WDO,g5,M15,confirm,1477,1477,0.44022375722293106,0.649497265404004,-0.20927350818107293,-1.5260766022094414,1.098638443564745,30,15,0.0,0.0,-0.08002115391317645,-0.005647606443726974,0.02389226308768902,0.17283726257966509,0.3535824136734318,0.35410728459374924,-0.000524870920317444,-0.015767865454198608,0.015151592038792013
T2_cascade,WDO,g10,M15,discovery,2053,2072,-1.024029305753718,-0.4381008771517884,-0.5859284286019295,-2.0548318187785366,0.871712678825365,30,15,0.0,0.0,-0.6124857137234021,-0.6927520414960892,-1.591622460048543,-1.5054791482986245,0.3321358305758827,0.3290797729655353,0.0030560576103473847,-0.008464104413901706,0.01505105836286217
T2_cascade,WDO,g10,M15,confirm,743,734,0.5001673305214894,0.3795451809820199,0.12062214953946954,-1.7403935046848626,2.165236015064509,30,15,0.0,0.0,0.07057329651537811,-0.2324621303006641,0.16910413781438757,-0.12310013871331484,0.3502140207773077,0.35699210838980805,-0.006778087612500372,-0.02947592900579328,0.013938091588838096
T2_cascade,WDO,g5,H1,discovery,2981,2967,-1.1667649455733689,-1.1188125633123125,-0.04795238226105636,-1.8725415196360438,1.7702965732844165,120,60,0.0,0.0,-0.7618662556948185,-0.7524903551127426,-2.433479022984533,-2.290908505617177,0.5317897996242238,0.5319093025670649,-0.00011950294284113205,-0.012980759768749156,0.013614943141349992
T2_cascade,WDO,g5,H1,confirm,1063,1058,1.579019758861461,1.866537900776517,-0.2875181419150561,-3.0789105180805794,2.3930685159771015,120,60,0.0,0.0,0.9733377349209784,1.1732771863105511,2.4775655333980686,2.7898674712132583,0.5542705007184592,0.5572639422342304,-0.002993441515771189,-0.030035407713622318,0.022562026921432946
T2_cascade,WDO,g10,H1,discovery,1478,1503,-1.0479040023812098,-1.2836488271688515,0.2357448247876417,-2.307086553739235,2.79618649459767,120,60,0.0,0.0,-0.8669484497568819,-0.6585319357854836,-2.1999704933807,-2.663103511843127,0.5338102211943185,0.5298029845340043,0.004007236660314217,-0.014710133957165588,0.021712691387008203
T2_cascade,WDO,g10,H1,confirm,536,527,1.4563565958590177,1.7037777386893727,-0.247421142830355,-3.94065979097384,3.8704372670661775,120,60,0.0,0.0,0.7464635082105331,1.204086474042039,2.7335174264495237,2.217242545398866,0.5569580019100401,0.5515371029220884,0.005420898987951728,-0.03231204837964954,0.04698163933597799
