config,F,sizing,window,window_start,window_end,net_ann,sharpe,maxdd,n_rebal,n_days
proxy_F5_fixed_1x,5,fixed_1x,2002-2003,2002-01-01,2003-12-31,0.13941695523512498,0.7536117066429393,-0.23537797059163823,99,499
proxy_F5_fixed_1x,5,fixed_1x,2003-2004,2003-01-01,2004-12-31,0.20281433686442552,1.6413508205268432,-0.13160824338507138,100,499
proxy_F5_fixed_1x,5,fixed_1x,2004-2005,2004-01-01,2005-12-31,0.2481529949677861,2.0651180801067155,-0.07936511856875816,100,498
proxy_F5_fixed_1x,5,fixed_1x,2005-2006,2005-01-01,2006-12-31,0.2267107528917982,1.6469231253965295,-0.13384031109605476,99,495
proxy_F5_fixed_1x,5,fixed_1x,2006-2007,2006-01-01,2007-12-31,0.21748422247808485,1.5675510383870457,-0.13384031109605432,98,491
proxy_F5_fixed_1x,5,fixed_1x,2007-2008,2007-01-01,2008-12-31,0.23088364133275285,1.0589629513828906,-0.18901128482420038,99,494
proxy_F5_fixed_1x,5,fixed_1x,2008-2009,2008-01-01,2009-12-31,0.18569321432327457,0.8630681495573458,-0.19137874199699312,99,495
proxy_F5_fixed_1x,5,fixed_1x,2009-2010,2009-01-01,2010-12-31,0.10298900166510427,0.7836506159392438,-0.14074875286270228,99,493
proxy_F5_fixed_1x,5,fixed_1x,2010-2011,2010-01-01,2011-12-31,0.0025081603934138386,0.08334475672522244,-0.2263839554431013,99,496
proxy_F5_fixed_1x,5,fixed_1x,2011-2012,2011-01-01,2012-12-31,-0.04032083935121922,-0.2734239562404793,-0.24557262684271408,98,493
proxy_F5_fixed_1x,5,fixed_1x,2012-2013,2012-01-01,2013-12-31,-0.05878838599667047,-0.514762398536993,-0.18436500206863415,99,492
proxy_F5_fixed_1x,5,fixed_1x,2013-2014,2013-01-01,2014-12-31,0.022560230455393793,0.2483170816074973,-0.179707506953931,99,496
proxy_F5_fixed_1x,5,fixed_1x,2014-2015,2014-01-01,2015-12-31,0.20934568613393822,1.2566580893542159,-0.13534188209283315,99,494
proxy_F5_fixed_1x,5,fixed_1x,2015-2016,2015-01-01,2016-12-31,0.2031031548633233,1.109134328710591,-0.20662563727121552,99,495
proxy_F5_fixed_1x,5,fixed_1x,2016-2017,2016-01-01,2017-12-31,0.06188787346646718,0.47229268608704444,-0.16416653166965756,99,496
proxy_F5_fixed_1x,5,fixed_1x,2017-2018,2017-01-01,2018-12-31,0.054046623585284115,0.45897652143760403,-0.1369749256852718,99,492
proxy_F5_fixed_1x,5,fixed_1x,2018-2019,2018-01-01,2019-12-31,-0.015582224875355766,-0.06188155320274145,-0.23694864291966455,98,493
proxy_F5_fixed_1x,5,fixed_1x,2019-2020,2019-01-01,2020-12-31,0.1104466826152517,0.7181632899650211,-0.1787299737650757,99,496
proxy_F5_fixed_1x,5,fixed_1x,2020-2021,2020-01-01,2021-12-31,0.08893336287152764,0.5674968340648084,-0.20130955961689467,99,495
proxy_F5_fixed_1x,5,fixed_1x,2021-2022,2021-01-01,2022-12-31,-0.1498860627603742,-0.9773463382664642,-0.3053981008105424,99,497
proxy_F5_fixed_1x,5,fixed_1x,2022-2023,2022-01-01,2023-12-31,-0.016192665661111327,-0.04430580505996595,-0.2420245175337118,100,498
proxy_F5_fixed_1x,5,fixed_1x,2023-2024,2023-01-01,2024-12-31,0.11913911748427175,1.0385942045250374,-0.08176898980326175,99,499
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2002-2003,2002-01-01,2003-12-31,0.09998220709211281,0.839951814731835,-0.16112907150807199,99,499
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2003-2004,2003-01-01,2004-12-31,0.25549353728709834,1.9964237747240052,-0.12842110749921842,100,499
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2004-2005,2004-01-01,2005-12-31,0.2651453933224519,1.9803624790333063,-0.12842110749921876,100,498
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2005-2006,2005-01-01,2006-12-31,0.17479511508717915,1.4623728559537343,-0.11608962396575684,99,495
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2006-2007,2006-01-01,2007-12-31,0.2159446292328402,1.7196022473424804,-0.11608962396575662,98,491
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2007-2008,2007-01-01,2008-12-31,0.1412916175020522,1.1318519537962817,-0.18475813608718317,99,494
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2008-2009,2008-01-01,2009-12-31,0.06903412042089063,0.6417956372289959,-0.18475813608718283,99,495
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2009-2010,2009-01-01,2010-12-31,0.13327559015584778,1.2479873253806788,-0.08321206182828056,99,493
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2010-2011,2010-01-01,2011-12-31,0.10169071794093565,0.9308152516458978,-0.1610636634690069,99,496
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2011-2012,2011-01-01,2012-12-31,0.02961639517501813,0.31148986669324724,-0.19733684441460264,98,493
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2012-2013,2012-01-01,2013-12-31,-0.010360552574464332,-0.02957424371007515,-0.16549093784397761,99,492
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2013-2014,2013-01-01,2014-12-31,0.03043539981369503,0.3171475442195552,-0.1654909378439775,99,496
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2014-2015,2014-01-01,2015-12-31,0.16241286397458388,1.3953398486843802,-0.11240993660710008,99,494
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2015-2016,2015-01-01,2016-12-31,0.13327299661179448,1.1566427561039383,-0.11348961806612279,99,495
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2016-2017,2016-01-01,2017-12-31,0.014088262235856686,0.17635657665228213,-0.12107013558238244,99,496
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2017-2018,2017-01-01,2018-12-31,0.06067496637111547,0.5450554441520765,-0.12107013558238078,99,492
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2018-2019,2018-01-01,2019-12-31,-0.012100979598667294,-0.05831860330698022,-0.18731179226434647,98,493
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2019-2020,2019-01-01,2020-12-31,0.0985956223507698,0.85764316008967,-0.11385110929272846,99,496
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2020-2021,2020-01-01,2021-12-31,0.10654197912399632,0.9043123061870321,-0.12912857903249386,99,495
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2021-2022,2021-01-01,2022-12-31,-0.10526181246927524,-0.9572102505355833,-0.22548329087911956,99,497
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2022-2023,2022-01-01,2023-12-31,-0.003952303009539415,0.01798764963724549,-0.17297464248639594,100,498
proxy_F5_voltarget_10pct_cap3x,5,voltarget_10pct_cap3x,2023-2024,2023-01-01,2024-12-31,0.08121375126609176,0.7653406778182454,-0.09871508015018327,99,499
proxy_F21_fixed_1x,21,fixed_1x,2002-2003,2002-01-01,2003-12-31,0.11665707574137518,0.6525363688603661,-0.21718985777362698,24,499
proxy_F21_fixed_1x,21,fixed_1x,2003-2004,2003-01-01,2004-12-31,0.22721530578628446,1.816481275337889,-0.11095175346970054,24,499
proxy_F21_fixed_1x,21,fixed_1x,2004-2005,2004-01-01,2005-12-31,0.25445076767927266,2.1106119311352036,-0.09054284779391386,23,498
proxy_F21_fixed_1x,21,fixed_1x,2005-2006,2005-01-01,2006-12-31,0.2267107528917982,1.6469231253965295,-0.13384031109605476,23,495
proxy_F21_fixed_1x,21,fixed_1x,2006-2007,2006-01-01,2007-12-31,0.21748422247808485,1.5675510383870457,-0.13384031109605432,24,491
proxy_F21_fixed_1x,21,fixed_1x,2007-2008,2007-01-01,2008-12-31,0.23980819379072837,1.0920462300217337,-0.17882130270890995,24,494
proxy_F21_fixed_1x,21,fixed_1x,2008-2009,2008-01-01,2009-12-31,0.1758757301787588,0.8263131929379601,-0.18474481698093548,23,495
proxy_F21_fixed_1x,21,fixed_1x,2009-2010,2009-01-01,2010-12-31,0.09509732306137542,0.7320469030630442,-0.13369945965275098,23,493
proxy_F21_fixed_1x,21,fixed_1x,2010-2011,2010-01-01,2011-12-31,0.048884373550661,0.4386081930996606,-0.18427807683476005,24,496
proxy_F21_fixed_1x,21,fixed_1x,2011-2012,2011-01-01,2012-12-31,0.04194083489956091,0.39588227799681175,-0.18879465518021543,24,493
proxy_F21_fixed_1x,21,fixed_1x,2012-2013,2012-01-01,2013-12-31,-0.021675129152777806,-0.15155174226087814,-0.18227781198374737,23,492
proxy_F21_fixed_1x,21,fixed_1x,2013-2014,2013-01-01,2014-12-31,0.001042747748147832,0.06772146077556146,-0.18227781198374837,23,496
proxy_F21_fixed_1x,21,fixed_1x,2014-2015,2014-01-01,2015-12-31,0.19156578145449488,1.1639708480900985,-0.13534188209283282,24,494
proxy_F21_fixed_1x,21,fixed_1x,2015-2016,2015-01-01,2016-12-31,0.2073290839233881,1.1289933508712364,-0.193748611831686,24,495
proxy_F21_fixed_1x,21,fixed_1x,2016-2017,2016-01-01,2017-12-31,0.08368461428219676,0.6068096641548777,-0.15060036500165386,24,496
proxy_F21_fixed_1x,21,fixed_1x,2017-2018,2017-01-01,2018-12-31,0.11856526626297725,0.9015346251752706,-0.13697492568527236,23,492
proxy_F21_fixed_1x,21,fixed_1x,2018-2019,2018-01-01,2019-12-31,0.05184878979435048,0.46482751349374474,-0.22651942347959897,23,493
proxy_F21_fixed_1x,21,fixed_1x,2019-2020,2019-01-01,2020-12-31,0.10800960773348933,0.7052006565481319,-0.17872997376507616,24,496
proxy_F21_fixed_1x,21,fixed_1x,2020-2021,2020-01-01,2021-12-31,0.03739643631778389,0.29506271009938384,-0.27386494782064374,24,495
proxy_F21_fixed_1x,21,fixed_1x,2021-2022,2021-01-01,2022-12-31,-0.19095079662967518,-1.2996547675993688,-0.3763739735595464,23,497
proxy_F21_fixed_1x,21,fixed_1x,2022-2023,2022-01-01,2023-12-31,-0.014032225432758061,-0.028758350457622504,-0.2456454909745075,23,498
proxy_F21_fixed_1x,21,fixed_1x,2023-2024,2023-01-01,2024-12-31,0.14131670319531042,1.2405572326827345,-0.08176898980326153,23,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2002-2003,2002-01-01,2003-12-31,0.09040566286850327,0.7487465328357501,-0.17288913714334864,24,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2003-2004,2003-01-01,2004-12-31,0.27531893563652554,1.988190064401728,-0.1638779782245583,24,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2004-2005,2004-01-01,2005-12-31,0.2652923046422,1.8596060877465184,-0.16387797822455763,23,498
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2005-2006,2005-01-01,2006-12-31,0.1428124527660426,1.0336676656864021,-0.1807040184915425,23,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2006-2007,2006-01-01,2007-12-31,0.15425497350984796,1.0020918081030865,-0.18070401849154283,24,491
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2007-2008,2007-01-01,2008-12-31,0.1380214233136523,0.9461663318174927,-0.1896657839710626,24,494
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2008-2009,2008-01-01,2009-12-31,0.07830676724849206,0.6688972617651583,-0.18966578397106293,23,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2009-2010,2009-01-01,2010-12-31,0.12591154341021138,1.2234865965026158,-0.07677917501717146,23,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2010-2011,2010-01-01,2011-12-31,0.13266157980522508,1.1268902327762844,-0.1517056147440422,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2011-2012,2011-01-01,2012-12-31,0.14984657378083543,1.2032242501633037,-0.15215377101434013,24,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2012-2013,2012-01-01,2013-12-31,0.06918857746688856,0.5950197890186639,-0.16519759188626693,23,492
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2013-2014,2013-01-01,2014-12-31,0.014778643498640998,0.18109622450347232,-0.16519759188626715,23,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2014-2015,2014-01-01,2015-12-31,0.13211328304991676,1.1836437630053134,-0.1170011125000684,24,494
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2015-2016,2015-01-01,2016-12-31,0.10237256085323487,0.8940645806988383,-0.12651622493314674,24,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2016-2017,2016-01-01,2017-12-31,0.0149052148318074,0.1823110366793145,-0.12651622493314651,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2017-2018,2017-01-01,2018-12-31,0.1372412063063453,1.1333146075172609,-0.09231966453327944,23,492
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2018-2019,2018-01-01,2019-12-31,0.08302445172638584,0.7956880755812062,-0.18543302520018612,23,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2019-2020,2019-01-01,2020-12-31,0.12764772557491533,1.0708068113008442,-0.13188215152495242,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2020-2021,2020-01-01,2021-12-31,0.09298422508234272,0.7677176908431732,-0.16377984031096815,24,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2021-2022,2021-01-01,2022-12-31,-0.1426994516849608,-1.285971260795965,-0.2839441180128661,23,497
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2022-2023,2022-01-01,2023-12-31,-0.022024471549408675,-0.15616324720432564,-0.2019578886933523,23,498
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2023-2024,2023-01-01,2024-12-31,0.09732415576040654,0.916644673077669,-0.10214442982521288,23,499
