timeframe,split,subset,time_slot,mean_abs_ret_bps,n_bars
M15,DISCOVERY,ALL,09:15,13.656687463732618,610
M15,DISCOVERY,ALL,09:30,14.61718270992531,610
M15,DISCOVERY,ALL,09:45,12.190679092827907,610
M15,DISCOVERY,ALL,10:00,20.623684798663934,610
M15,DISCOVERY,ALL,10:15,20.40941320593607,610
M15,DISCOVERY,ALL,10:30,24.189394726709807,610
M15,DISCOVERY,ALL,10:45,20.95556669173254,610
M15,DISCOVERY,ALL,11:00,18.906655462887418,610
M15,DISCOVERY,ALL,11:15,17.76692034945334,610
M15,DISCOVERY,ALL,11:30,19.1051406243419,610
M15,DISCOVERY,ALL,11:45,16.138590604485575,610
M15,DISCOVERY,ALL,12:00,15.427217052161588,610
M15,DISCOVERY,ALL,12:15,14.001489887847749,610
M15,DISCOVERY,ALL,12:30,13.616251922529372,610
M15,DISCOVERY,ALL,12:45,12.210320577359711,610
M15,DISCOVERY,ALL,13:00,10.776298928780635,610
M15,DISCOVERY,ALL,13:15,11.093154640416522,610
M15,DISCOVERY,ALL,13:30,10.984576110877466,610
M15,DISCOVERY,ALL,13:45,10.864083929369537,610
M15,DISCOVERY,ALL,14:00,11.680244774534403,610
M15,DISCOVERY,ALL,14:15,11.453777090704667,610
M15,DISCOVERY,ALL,14:30,11.02323091330947,610
M15,DISCOVERY,ALL,14:45,11.147275221648998,610
M15,DISCOVERY,ALL,15:00,12.487318203984533,610
M15,DISCOVERY,ALL,15:15,11.536839479296354,610
M15,DISCOVERY,ALL,15:30,11.756499568617409,610
M15,DISCOVERY,ALL,15:45,11.366568126635766,610
M15,DISCOVERY,ALL,16:00,11.049347844489267,610
M15,DISCOVERY,ALL,16:15,11.899631666247805,610
M15,DISCOVERY,ALL,16:30,12.915100674148773,610
M15,DISCOVERY,ALL,16:45,11.688702123571945,610
M15,DISCOVERY,ALL,17:00,10.93691872863249,610
M15,DISCOVERY,ALL,17:15,8.794894522101767,610
M15,DISCOVERY,ALL,17:30,9.708205719741288,610
M15,DISCOVERY,ALL,17:45,11.095655815607593,610
M15,DISCOVERY,ALL,18:00,11.006473639172112,206
M15,DISCOVERY,ALL,18:15,12.179986712186384,206
M15,DISCOVERY,EDT,09:15,13.484790766694394,404
M15,DISCOVERY,EDT,09:30,16.087162968991304,404
M15,DISCOVERY,EDT,09:45,12.742655260597184,404
M15,DISCOVERY,EDT,10:00,20.48647020834995,404
M15,DISCOVERY,EDT,10:15,20.902022624848026,404
M15,DISCOVERY,EDT,10:30,24.12767137745367,404
M15,DISCOVERY,EDT,10:45,22.354272883952138,404
M15,DISCOVERY,EDT,11:00,19.164200132435113,404
M15,DISCOVERY,EDT,11:15,18.377640355716412,404
M15,DISCOVERY,EDT,11:30,17.05766293311053,404
M15,DISCOVERY,EDT,11:45,14.433437106696635,404
M15,DISCOVERY,EDT,12:00,14.272646974096716,404
M15,DISCOVERY,EDT,12:15,12.900715744855729,404
M15,DISCOVERY,EDT,12:30,13.358130197459777,404
M15,DISCOVERY,EDT,12:45,11.152947758089478,404
M15,DISCOVERY,EDT,13:00,10.184085313029552,404
M15,DISCOVERY,EDT,13:15,10.393581355868836,404
M15,DISCOVERY,EDT,13:30,10.84749115167868,404
M15,DISCOVERY,EDT,13:45,10.62920934659321,404
M15,DISCOVERY,EDT,14:00,12.08063884067325,404
M15,DISCOVERY,EDT,14:15,11.604244478514765,404
M15,DISCOVERY,EDT,14:30,10.850904044145365,404
M15,DISCOVERY,EDT,14:45,11.254610109364306,404
M15,DISCOVERY,EDT,15:00,12.555661176795423,404
M15,DISCOVERY,EDT,15:15,11.621220470961898,404
M15,DISCOVERY,EDT,15:30,12.151685004522927,404
M15,DISCOVERY,EDT,15:45,12.088718247726227,404
M15,DISCOVERY,EDT,16:00,11.457870688415912,404
M15,DISCOVERY,EDT,16:15,12.221407342711357,404
M15,DISCOVERY,EDT,16:30,13.922140808917023,404
M15,DISCOVERY,EDT,16:45,12.210440856797577,404
M15,DISCOVERY,EDT,17:00,10.396171070146014,404
M15,DISCOVERY,EDT,17:15,7.9219561691985145,404
M15,DISCOVERY,EDT,17:30,8.160423375798667,404
M15,DISCOVERY,EDT,17:45,10.8905799566018,404
M15,DISCOVERY,EST,09:15,13.993805257924087,206
M15,DISCOVERY,EST,09:30,11.734308803795887,206
M15,DISCOVERY,EST,09:45,11.10816272496971,206
M15,DISCOVERY,EST,10:00,20.892785257337966,206
M15,DISCOVERY,EST,10:15,19.44332483098252,206
M15,DISCOVERY,EST,10:30,24.31044440195,206
M15,DISCOVERY,EST,10:45,18.212472994369833,206
M15,DISCOVERY,EST,11:00,18.401567858531738,206
M15,DISCOVERY,EST,11:15,16.56919761872383,206
M15,DISCOVERY,EST,11:30,23.12058231005778,206
M15,DISCOVERY,EST,11:45,19.482678046751268,206
M15,DISCOVERY,EST,12:00,17.691519535356772,206
M15,DISCOVERY,EST,12:15,16.160289663424333,206
M15,DISCOVERY,EST,12:30,14.122471228005665,206
M15,DISCOVERY,EST,12:45,14.284003193792595,206
M15,DISCOVERY,EST,13:00,11.937727573263338,206
M15,DISCOVERY,EST,13:15,12.465133314966359,206
M15,DISCOVERY,EST,13:30,11.253422341539164,206
M15,DISCOVERY,EST,13:45,11.324711751901752,206
M15,DISCOVERY,EST,14:00,10.895005926378607,206
M15,DISCOVERY,EST,14:15,11.158685708785832,206
M15,DISCOVERY,EST,14:30,11.361192346039076,206
M15,DISCOVERY,EST,14:45,10.936773791372378,206
M15,DISCOVERY,EST,15:00,12.353286354394237,206
M15,DISCOVERY,EST,15:15,11.371354427680433,206
M15,DISCOVERY,EST,15:30,10.981475704026002,206
M15,DISCOVERY,EST,15:45,9.950312549351567,206
M15,DISCOVERY,EST,16:00,10.248167121448663,206
M15,DISCOVERY,EST,16:15,11.268576456095982,206
M15,DISCOVERY,EST,16:30,10.940128759360558,206
M15,DISCOVERY,EST,16:45,10.665486355498377,206
M15,DISCOVERY,EST,17:00,11.997414136538007,206
M15,DISCOVERY,EST,17:15,10.506870709348924,206
M15,DISCOVERY,EST,17:30,12.743662355434584,206
M15,DISCOVERY,EST,17:45,11.497843422589828,206
M15,DISCOVERY,EST,18:00,11.006473639172112,206
M15,DISCOVERY,EST,18:15,12.179986712186384,206
M15,CONFIRM,ALL,09:15,9.481688730278076,250
M15,CONFIRM,ALL,09:30,11.997050680908993,250
M15,CONFIRM,ALL,09:45,8.930827026916184,250
M15,CONFIRM,ALL,10:00,13.526622888099503,250
M15,CONFIRM,ALL,10:15,14.74223580290313,250
M15,CONFIRM,ALL,10:30,16.792363237314834,250
M15,CONFIRM,ALL,10:45,12.545657136247964,250
M15,CONFIRM,ALL,11:00,11.758670816046983,250
M15,CONFIRM,ALL,11:15,11.66862377361992,250
M15,CONFIRM,ALL,11:30,12.141086213861602,250
M15,CONFIRM,ALL,11:45,10.100438943006068,250
M15,CONFIRM,ALL,12:00,10.735440256962105,250
M15,CONFIRM,ALL,12:15,8.446419247377438,250
M15,CONFIRM,ALL,12:30,8.448558862364687,250
M15,CONFIRM,ALL,12:45,7.503471772927789,250
M15,CONFIRM,ALL,13:00,7.301489378022339,250
M15,CONFIRM,ALL,13:15,6.666933523346964,250
M15,CONFIRM,ALL,13:30,6.325765751724521,250
M15,CONFIRM,ALL,13:45,7.837948476916292,250
M15,CONFIRM,ALL,14:00,7.053466255053581,250
M15,CONFIRM,ALL,14:15,8.042910857283081,250
M15,CONFIRM,ALL,14:30,6.909977647046648,250
M15,CONFIRM,ALL,14:45,6.942459631835076,250
M15,CONFIRM,ALL,15:00,7.2566403187757,250
M15,CONFIRM,ALL,15:15,7.192391769362763,250
M15,CONFIRM,ALL,15:30,7.251817372466487,250
M15,CONFIRM,ALL,15:45,6.486594748155371,250
M15,CONFIRM,ALL,16:00,6.255731024316812,250
M15,CONFIRM,ALL,16:15,6.120492925631331,250
M15,CONFIRM,ALL,16:30,7.340032219721557,250
M15,CONFIRM,ALL,16:45,6.758751525334672,250
M15,CONFIRM,ALL,17:00,6.571656076587606,250
M15,CONFIRM,ALL,17:15,5.637695626410252,250
M15,CONFIRM,ALL,17:30,5.360137654229288,250
M15,CONFIRM,ALL,17:45,5.4595761325123435,250
M15,CONFIRM,ALL,18:00,5.711005008496817,250
M15,CONFIRM,ALL,18:15,6.620223558177503,250
M15,CONFIRM,EDT,09:15,8.919156482547287,167
M15,CONFIRM,EDT,09:30,13.370381142510434,167
M15,CONFIRM,EDT,09:45,9.27936323068839,167
M15,CONFIRM,EDT,10:00,12.579297131632567,167
M15,CONFIRM,EDT,10:15,15.05612024464238,167
M15,CONFIRM,EDT,10:30,17.449728219209963,167
M15,CONFIRM,EDT,10:45,12.81696755390087,167
M15,CONFIRM,EDT,11:00,12.088093258175412,167
M15,CONFIRM,EDT,11:15,11.89434768146802,167
M15,CONFIRM,EDT,11:30,10.510908425317746,167
M15,CONFIRM,EDT,11:45,9.279510625463903,167
M15,CONFIRM,EDT,12:00,8.321495463925713,167
M15,CONFIRM,EDT,12:15,8.360219031516515,167
M15,CONFIRM,EDT,12:30,7.645375022805002,167
M15,CONFIRM,EDT,12:45,6.906686971971687,167
M15,CONFIRM,EDT,13:00,7.077488646982568,167
M15,CONFIRM,EDT,13:15,6.059725360336854,167
M15,CONFIRM,EDT,13:30,5.8101842506210994,167
M15,CONFIRM,EDT,13:45,6.878114523217757,167
M15,CONFIRM,EDT,14:00,7.360059335310432,167
M15,CONFIRM,EDT,14:15,8.106273149808308,167
M15,CONFIRM,EDT,14:30,6.617015801327572,167
M15,CONFIRM,EDT,14:45,6.753075642030864,167
M15,CONFIRM,EDT,15:00,7.165615170580001,167
M15,CONFIRM,EDT,15:15,7.011096543493273,167
M15,CONFIRM,EDT,15:30,7.220164139692301,167
M15,CONFIRM,EDT,15:45,6.2373985102609195,167
M15,CONFIRM,EDT,16:00,5.810737921411466,167
M15,CONFIRM,EDT,16:15,5.927517658095912,167
M15,CONFIRM,EDT,16:30,5.719304765618395,167
M15,CONFIRM,EDT,16:45,6.113606234301374,167
M15,CONFIRM,EDT,17:00,6.1413296160935404,167
M15,CONFIRM,EDT,17:15,4.808316214784654,167
M15,CONFIRM,EDT,17:30,3.850906903385921,167
M15,CONFIRM,EDT,17:45,3.9211999104226174,167
M15,CONFIRM,EDT,18:00,4.612074166758595,167
M15,CONFIRM,EDT,18:15,6.149725831110681,167
M15,CONFIRM,EST,09:15,10.61353072270027,83
M15,CONFIRM,EST,09:30,9.233843607566337,83
M15,CONFIRM,EST,09:45,8.229555388001023,83
M15,CONFIRM,EST,10:00,15.4326879643643,83
M15,CONFIRM,EST,10:15,14.110685179162715,83
M15,CONFIRM,EST,10:30,15.469713213501741,83
M15,CONFIRM,EST,10:45,11.99976750072947,83
M15,CONFIRM,EST,11:00,11.09585698670424,83
M15,CONFIRM,EST,11:15,11.214456392768925,83
M15,CONFIRM,EST,11:30,15.421082487196832,83
M15,CONFIRM,EST,11:45,11.752186280711392,83
M15,CONFIRM,EST,12:00,15.59241351524015,83
M15,CONFIRM,EST,12:15,8.61985823591689,83
M15,CONFIRM,EST,12:30,10.064603455213687,83
M15,CONFIRM,EST,12:45,8.704231553164762,83
M15,CONFIRM,EST,13:00,7.75218964409031,83
M15,CONFIRM,EST,13:15,7.88866561036731,83
M15,CONFIRM,EST,13:30,7.363140579245864,83
M15,CONFIRM,EST,13:45,9.769180648815754,83
M15,CONFIRM,EST,14:00,6.4365862020066675,83
M15,CONFIRM,EST,14:15,7.915422871117866,83
M15,CONFIRM,EST,14:30,7.499430999276598,83
M15,CONFIRM,EST,14:45,7.32350934626042,83
M15,CONFIRM,EST,15:00,7.439787303699578,83
M15,CONFIRM,EST,15:15,7.557166500931492,83
M15,CONFIRM,EST,15:30,7.315505202265149,83
M15,CONFIRM,EST,15:45,6.9879895882562515,83
M15,CONFIRM,EST,16:00,7.151078592813107,83
M15,CONFIRM,EST,16:15,6.508768463925488,83
M15,CONFIRM,EST,16:30,10.601013964724306,83
M15,CONFIRM,EST,16:45,8.056814942232993,83
M15,CONFIRM,EST,17:00,7.437493653726267,83
M15,CONFIRM,EST,17:15,7.306446972693077,83
M15,CONFIRM,EST,17:30,8.396782658938227,83
M15,CONFIRM,EST,17:45,8.554863229969984,83
M15,CONFIRM,EST,18:00,7.922106822596611,83
M15,CONFIRM,EST,18:15,7.566887659625204,83
M5,DISCOVERY_PARTIAL,ALL,09:05,11.673810797579582,257
M5,DISCOVERY_PARTIAL,ALL,09:10,7.758523003281691,257
M5,DISCOVERY_PARTIAL,ALL,09:15,7.770129866626882,257
M5,DISCOVERY_PARTIAL,ALL,09:20,7.046757820466524,257
M5,DISCOVERY_PARTIAL,ALL,09:25,6.6113569127598595,257
M5,DISCOVERY_PARTIAL,ALL,09:30,9.085974337217072,257
M5,DISCOVERY_PARTIAL,ALL,09:35,6.298246468375599,257
M5,DISCOVERY_PARTIAL,ALL,09:40,6.402898066695237,257
M5,DISCOVERY_PARTIAL,ALL,09:45,6.387312984278091,257
M5,DISCOVERY_PARTIAL,ALL,09:50,6.181763902286362,257
M5,DISCOVERY_PARTIAL,ALL,09:55,5.910245919231295,257
M5,DISCOVERY_PARTIAL,ALL,10:00,9.364767117645963,257
M5,DISCOVERY_PARTIAL,ALL,10:05,11.880246261730564,257
M5,DISCOVERY_PARTIAL,ALL,10:10,11.796581802225623,257
M5,DISCOVERY_PARTIAL,ALL,10:15,13.755967393844339,257
M5,DISCOVERY_PARTIAL,ALL,10:20,11.578653264133518,257
M5,DISCOVERY_PARTIAL,ALL,10:25,11.446712875732848,257
M5,DISCOVERY_PARTIAL,ALL,10:30,14.886930635209184,257
M5,DISCOVERY_PARTIAL,ALL,10:35,13.260372706830013,257
M5,DISCOVERY_PARTIAL,ALL,10:40,12.647088675143573,257
M5,DISCOVERY_PARTIAL,ALL,10:45,11.338413727332695,257
M5,DISCOVERY_PARTIAL,ALL,10:50,10.727051902879841,257
M5,DISCOVERY_PARTIAL,ALL,10:55,10.041833115984632,257
M5,DISCOVERY_PARTIAL,ALL,11:00,11.5919571364725,257
M5,DISCOVERY_PARTIAL,ALL,11:05,9.985671773844619,257
M5,DISCOVERY_PARTIAL,ALL,11:10,10.522292735524372,257
M5,DISCOVERY_PARTIAL,ALL,11:15,9.374559639479333,257
M5,DISCOVERY_PARTIAL,ALL,11:20,9.259269423537376,257
M5,DISCOVERY_PARTIAL,ALL,11:25,9.442862960720444,257
M5,DISCOVERY_PARTIAL,ALL,11:30,11.855674263613565,257
M5,DISCOVERY_PARTIAL,ALL,11:35,8.692491881456803,257
M5,DISCOVERY_PARTIAL,ALL,11:40,9.825752440622734,257
M5,DISCOVERY_PARTIAL,ALL,11:45,8.483918801682197,257
M5,DISCOVERY_PARTIAL,ALL,11:50,8.592132374380046,257
M5,DISCOVERY_PARTIAL,ALL,11:55,7.9608866815348005,257
M5,DISCOVERY_PARTIAL,ALL,12:00,8.836503181609665,257
M5,DISCOVERY_PARTIAL,ALL,12:05,8.07745783310311,257
M5,DISCOVERY_PARTIAL,ALL,12:10,8.10571306269221,257
M5,DISCOVERY_PARTIAL,ALL,12:15,7.197666796546638,257
M5,DISCOVERY_PARTIAL,ALL,12:20,7.50839653840713,257
M5,DISCOVERY_PARTIAL,ALL,12:25,7.052605472776423,257
M5,DISCOVERY_PARTIAL,ALL,12:30,7.0286880597946695,257
M5,DISCOVERY_PARTIAL,ALL,12:35,6.688215696292909,257
M5,DISCOVERY_PARTIAL,ALL,12:40,7.337221661621523,257
M5,DISCOVERY_PARTIAL,ALL,12:45,6.091903925499157,257
M5,DISCOVERY_PARTIAL,ALL,12:50,5.764188452035689,257
M5,DISCOVERY_PARTIAL,ALL,12:55,6.1540783993031685,257
M5,DISCOVERY_PARTIAL,ALL,13:00,5.86489655419321,257
M5,DISCOVERY_PARTIAL,ALL,13:05,5.858776810459834,257
M5,DISCOVERY_PARTIAL,ALL,13:10,5.7329040823260256,257
M5,DISCOVERY_PARTIAL,ALL,13:15,5.555579064663036,257
M5,DISCOVERY_PARTIAL,ALL,13:20,5.142540192200365,257
M5,DISCOVERY_PARTIAL,ALL,13:25,5.612899992217397,257
M5,DISCOVERY_PARTIAL,ALL,13:30,5.469207180119442,257
M5,DISCOVERY_PARTIAL,ALL,13:35,5.4044178761120865,257
M5,DISCOVERY_PARTIAL,ALL,13:40,5.257769097111491,257
M5,DISCOVERY_PARTIAL,ALL,13:45,6.041547259816587,257
M5,DISCOVERY_PARTIAL,ALL,13:50,5.347643368507569,257
M5,DISCOVERY_PARTIAL,ALL,13:55,5.591641437981295,257
M5,DISCOVERY_PARTIAL,ALL,14:00,6.1929046554581415,257
M5,DISCOVERY_PARTIAL,ALL,14:05,5.590427300289199,257
M5,DISCOVERY_PARTIAL,ALL,14:10,6.113290962733456,257
M5,DISCOVERY_PARTIAL,ALL,14:15,5.786729488723771,257
M5,DISCOVERY_PARTIAL,ALL,14:20,5.467989725780673,257
M5,DISCOVERY_PARTIAL,ALL,14:25,5.218944848882512,257
M5,DISCOVERY_PARTIAL,ALL,14:30,5.46001611858842,257
M5,DISCOVERY_PARTIAL,ALL,14:35,5.859210384864338,257
M5,DISCOVERY_PARTIAL,ALL,14:40,6.076647739798244,257
M5,DISCOVERY_PARTIAL,ALL,14:45,5.69075238894256,257
M5,DISCOVERY_PARTIAL,ALL,14:50,5.248731963719374,257
M5,DISCOVERY_PARTIAL,ALL,14:55,5.126373284405337,257
M5,DISCOVERY_PARTIAL,ALL,15:00,6.827989218806563,257
M5,DISCOVERY_PARTIAL,ALL,15:05,6.113099723294489,257
M5,DISCOVERY_PARTIAL,ALL,15:10,6.158873166142567,257
