timeframe,split,subset,time_slot,mean_abs_ret_bps,n_bars
M5,DISCOVERY_PARTIAL,ALL,15:15,5.487924188018539,257
M5,DISCOVERY_PARTIAL,ALL,15:20,6.118700007336906,257
M5,DISCOVERY_PARTIAL,ALL,15:25,6.014502449839742,257
M5,DISCOVERY_PARTIAL,ALL,15:30,6.123942986812709,257
M5,DISCOVERY_PARTIAL,ALL,15:35,5.759817489902984,257
M5,DISCOVERY_PARTIAL,ALL,15:40,5.5634550867689985,257
M5,DISCOVERY_PARTIAL,ALL,15:45,4.525349031219043,257
M5,DISCOVERY_PARTIAL,ALL,15:50,5.108733281716948,257
M5,DISCOVERY_PARTIAL,ALL,15:55,4.975753005345543,257
M5,DISCOVERY_PARTIAL,ALL,16:00,5.768296600575115,257
M5,DISCOVERY_PARTIAL,ALL,16:05,5.763984679555027,257
M5,DISCOVERY_PARTIAL,ALL,16:10,6.0481669417577,257
M5,DISCOVERY_PARTIAL,ALL,16:15,5.438115412438823,257
M5,DISCOVERY_PARTIAL,ALL,16:20,5.548199791938542,257
M5,DISCOVERY_PARTIAL,ALL,16:25,5.769229112489956,257
M5,DISCOVERY_PARTIAL,ALL,16:30,7.08509760484205,257
M5,DISCOVERY_PARTIAL,ALL,16:35,5.58969489293379,257
M5,DISCOVERY_PARTIAL,ALL,16:40,5.546321465219705,257
M5,DISCOVERY_PARTIAL,ALL,16:45,4.9764785321048395,257
M5,DISCOVERY_PARTIAL,ALL,16:50,5.4613234180367,257
M5,DISCOVERY_PARTIAL,ALL,16:55,5.722623527913722,257
M5,DISCOVERY_PARTIAL,ALL,17:00,5.9372417648816045,257
M5,DISCOVERY_PARTIAL,ALL,17:05,4.9937310848674885,257
M5,DISCOVERY_PARTIAL,ALL,17:10,4.585269798172016,257
M5,DISCOVERY_PARTIAL,ALL,17:15,4.694560613144759,257
M5,DISCOVERY_PARTIAL,ALL,17:20,4.298183645427675,257
M5,DISCOVERY_PARTIAL,ALL,17:25,3.569023616628128,257
M5,DISCOVERY_PARTIAL,ALL,17:30,4.934405088910203,257
M5,DISCOVERY_PARTIAL,ALL,17:35,4.8506179887620355,257
M5,DISCOVERY_PARTIAL,ALL,17:40,4.6212308652191005,257
M5,DISCOVERY_PARTIAL,ALL,17:45,5.133426293259808,257
M5,DISCOVERY_PARTIAL,ALL,17:50,6.966385435690331,257
M5,DISCOVERY_PARTIAL,ALL,17:55,5.198640068642463,95
M5,DISCOVERY_PARTIAL,ALL,18:00,5.985124473641801,94
M5,DISCOVERY_PARTIAL,ALL,18:05,5.062240685266012,94
M5,DISCOVERY_PARTIAL,ALL,18:10,4.836091347942084,94
M5,DISCOVERY_PARTIAL,ALL,18:15,5.187825333199143,94
M5,DISCOVERY_PARTIAL,ALL,18:20,7.769469224130874,94
M5,DISCOVERY_PARTIAL,ALL,18:25,3.555344868452215,1
M5,DISCOVERY_PARTIAL,EDT,09:05,11.845074183651908,163
M5,DISCOVERY_PARTIAL,EDT,09:10,7.826843200606918,163
M5,DISCOVERY_PARTIAL,EDT,09:15,8.603326850705457,163
M5,DISCOVERY_PARTIAL,EDT,09:20,6.841687680529671,163
M5,DISCOVERY_PARTIAL,EDT,09:25,6.813802279057441,163
M5,DISCOVERY_PARTIAL,EDT,09:30,10.949351446856445,163
M5,DISCOVERY_PARTIAL,EDT,09:35,6.8920264508771725,163
M5,DISCOVERY_PARTIAL,EDT,09:40,7.448373286086522,163
M5,DISCOVERY_PARTIAL,EDT,09:45,6.777369964885726,163
M5,DISCOVERY_PARTIAL,EDT,09:50,6.523040793714477,163
M5,DISCOVERY_PARTIAL,EDT,09:55,6.1196588799313085,163
M5,DISCOVERY_PARTIAL,EDT,10:00,9.68164377232194,163
M5,DISCOVERY_PARTIAL,EDT,10:05,12.749662527145391,163
M5,DISCOVERY_PARTIAL,EDT,10:10,12.273018954661625,163
M5,DISCOVERY_PARTIAL,EDT,10:15,15.471597346629505,163
M5,DISCOVERY_PARTIAL,EDT,10:20,12.100674231798907,163
M5,DISCOVERY_PARTIAL,EDT,10:25,12.386378565909892,163
M5,DISCOVERY_PARTIAL,EDT,10:30,14.275438988182703,163
M5,DISCOVERY_PARTIAL,EDT,10:35,13.351031440374285,163
M5,DISCOVERY_PARTIAL,EDT,10:40,12.659121247498323,163
M5,DISCOVERY_PARTIAL,EDT,10:45,12.803176942011348,163
M5,DISCOVERY_PARTIAL,EDT,10:50,11.73535486104433,163
M5,DISCOVERY_PARTIAL,EDT,10:55,10.37421807521973,163
M5,DISCOVERY_PARTIAL,EDT,11:00,12.780144611035238,163
M5,DISCOVERY_PARTIAL,EDT,11:05,10.096131857383817,163
M5,DISCOVERY_PARTIAL,EDT,11:10,10.526313237357298,163
M5,DISCOVERY_PARTIAL,EDT,11:15,9.009033619947038,163
M5,DISCOVERY_PARTIAL,EDT,11:20,9.88176567351644,163
M5,DISCOVERY_PARTIAL,EDT,11:25,9.151802539768694,163
M5,DISCOVERY_PARTIAL,EDT,11:30,10.320276333311115,163
M5,DISCOVERY_PARTIAL,EDT,11:35,8.120385949353379,163
M5,DISCOVERY_PARTIAL,EDT,11:40,8.338670471767067,163
M5,DISCOVERY_PARTIAL,EDT,11:45,8.027721365265906,163
M5,DISCOVERY_PARTIAL,EDT,11:50,7.830205192641977,163
M5,DISCOVERY_PARTIAL,EDT,11:55,7.527167815676878,163
M5,DISCOVERY_PARTIAL,EDT,12:00,7.9411230874960035,163
M5,DISCOVERY_PARTIAL,EDT,12:05,8.025619863651094,163
M5,DISCOVERY_PARTIAL,EDT,12:10,7.568864456409807,163
M5,DISCOVERY_PARTIAL,EDT,12:15,7.042419478729116,163
M5,DISCOVERY_PARTIAL,EDT,12:20,6.553380691257183,163
M5,DISCOVERY_PARTIAL,EDT,12:25,6.7903665702186125,163
M5,DISCOVERY_PARTIAL,EDT,12:30,6.331600242845734,163
M5,DISCOVERY_PARTIAL,EDT,12:35,6.095783133948082,163
M5,DISCOVERY_PARTIAL,EDT,12:40,6.574428571771788,163
M5,DISCOVERY_PARTIAL,EDT,12:45,5.803053886109064,163
M5,DISCOVERY_PARTIAL,EDT,12:50,5.173482469533078,163
M5,DISCOVERY_PARTIAL,EDT,12:55,5.689940637029008,163
M5,DISCOVERY_PARTIAL,EDT,13:00,5.339072088099769,163
M5,DISCOVERY_PARTIAL,EDT,13:05,4.981364271692077,163
M5,DISCOVERY_PARTIAL,EDT,13:10,5.2766857788843025,163
M5,DISCOVERY_PARTIAL,EDT,13:15,5.139868799639541,163
M5,DISCOVERY_PARTIAL,EDT,13:20,4.88373439759854,163
M5,DISCOVERY_PARTIAL,EDT,13:25,5.472557799913007,163
M5,DISCOVERY_PARTIAL,EDT,13:30,4.756797020998273,163
M5,DISCOVERY_PARTIAL,EDT,13:35,5.319935192164924,163
M5,DISCOVERY_PARTIAL,EDT,13:40,4.855744062772646,163
M5,DISCOVERY_PARTIAL,EDT,13:45,6.029458666127955,163
M5,DISCOVERY_PARTIAL,EDT,13:50,5.441506861932436,163
M5,DISCOVERY_PARTIAL,EDT,13:55,5.292276479741084,163
M5,DISCOVERY_PARTIAL,EDT,14:00,6.559039026183311,163
M5,DISCOVERY_PARTIAL,EDT,14:05,5.530774124909633,163
M5,DISCOVERY_PARTIAL,EDT,14:10,5.727694926788635,163
M5,DISCOVERY_PARTIAL,EDT,14:15,5.659741819384173,163
M5,DISCOVERY_PARTIAL,EDT,14:20,5.459978422908457,163
M5,DISCOVERY_PARTIAL,EDT,14:25,4.8106771962531845,163
M5,DISCOVERY_PARTIAL,EDT,14:30,5.654945152302533,163
M5,DISCOVERY_PARTIAL,EDT,14:35,5.655145743631499,163
M5,DISCOVERY_PARTIAL,EDT,14:40,6.1563767263955835,163
M5,DISCOVERY_PARTIAL,EDT,14:45,5.54425354470585,163
M5,DISCOVERY_PARTIAL,EDT,14:50,5.021095755658285,163
M5,DISCOVERY_PARTIAL,EDT,14:55,5.322170320223907,163
M5,DISCOVERY_PARTIAL,EDT,15:00,6.346130201210623,163
M5,DISCOVERY_PARTIAL,EDT,15:05,6.105954937944983,163
M5,DISCOVERY_PARTIAL,EDT,15:10,6.114852347982121,163
M5,DISCOVERY_PARTIAL,EDT,15:15,5.472778251932992,163
M5,DISCOVERY_PARTIAL,EDT,15:20,5.945791608973309,163
M5,DISCOVERY_PARTIAL,EDT,15:25,6.002139170040381,163
M5,DISCOVERY_PARTIAL,EDT,15:30,6.094418496119788,163
M5,DISCOVERY_PARTIAL,EDT,15:35,6.187544497635146,163
M5,DISCOVERY_PARTIAL,EDT,15:40,5.506898825477628,163
M5,DISCOVERY_PARTIAL,EDT,15:45,4.654675935956453,163
M5,DISCOVERY_PARTIAL,EDT,15:50,5.041707129046114,163
M5,DISCOVERY_PARTIAL,EDT,15:55,4.856484333653757,163
M5,DISCOVERY_PARTIAL,EDT,16:00,5.44938121826951,163
M5,DISCOVERY_PARTIAL,EDT,16:05,5.595347210318518,163
M5,DISCOVERY_PARTIAL,EDT,16:10,5.643185619138528,163
M5,DISCOVERY_PARTIAL,EDT,16:15,5.365745485950072,163
M5,DISCOVERY_PARTIAL,EDT,16:20,5.570232255921057,163
M5,DISCOVERY_PARTIAL,EDT,16:25,5.563230788434033,163
M5,DISCOVERY_PARTIAL,EDT,16:30,7.967123302552931,163
M5,DISCOVERY_PARTIAL,EDT,16:35,5.639537320118129,163
M5,DISCOVERY_PARTIAL,EDT,16:40,5.408556000724763,163
M5,DISCOVERY_PARTIAL,EDT,16:45,4.762567406972262,163
M5,DISCOVERY_PARTIAL,EDT,16:50,5.317038880045454,163
M5,DISCOVERY_PARTIAL,EDT,16:55,5.757113984545923,163
M5,DISCOVERY_PARTIAL,EDT,17:00,5.4926949561325,163
M5,DISCOVERY_PARTIAL,EDT,17:05,4.887560627187125,163
M5,DISCOVERY_PARTIAL,EDT,17:10,4.451952982274558,163
M5,DISCOVERY_PARTIAL,EDT,17:15,4.3370660817661095,163
M5,DISCOVERY_PARTIAL,EDT,17:20,4.065013487369825,163
M5,DISCOVERY_PARTIAL,EDT,17:25,3.354191007667774,163
M5,DISCOVERY_PARTIAL,EDT,17:30,3.8518444151676303,163
M5,DISCOVERY_PARTIAL,EDT,17:35,3.980951707121555,163
M5,DISCOVERY_PARTIAL,EDT,17:40,4.0011460155212495,163
M5,DISCOVERY_PARTIAL,EDT,17:45,4.819174935766952,163
M5,DISCOVERY_PARTIAL,EDT,17:50,7.8700123917011,163
M5,DISCOVERY_PARTIAL,EDT,17:55,10.888976000696937,1
M5,DISCOVERY_PARTIAL,EST,09:05,11.376832798326504,94
M5,DISCOVERY_PARTIAL,EST,09:10,7.640052873877309,94
M5,DISCOVERY_PARTIAL,EST,09:15,6.32533084104382,94
M5,DISCOVERY_PARTIAL,EST,09:20,7.402358169505963,94
M5,DISCOVERY_PARTIAL,EST,09:25,6.260308032903416,94
M5,DISCOVERY_PARTIAL,EST,09:30,5.854799136459436,94
M5,DISCOVERY_PARTIAL,EST,09:35,5.268606711484574,94
M5,DISCOVERY_PARTIAL,EST,09:40,4.5899995479635445,94
M5,DISCOVERY_PARTIAL,EST,09:45,5.710937581735063,94
M5,DISCOVERY_PARTIAL,EST,09:50,5.589975250129099,94
M5,DISCOVERY_PARTIAL,EST,09:55,5.547114934187653,94
M5,DISCOVERY_PARTIAL,EST,10:00,8.81528951432485,94
M5,DISCOVERY_PARTIAL,EST,10:05,10.372641461064426,94
M5,DISCOVERY_PARTIAL,EST,10:10,10.970419505980217,94
M5,DISCOVERY_PARTIAL,EST,10:15,10.780992050184954,94
M5,DISCOVERY_PARTIAL,EST,10:20,10.673446692543537,94
M5,DISCOVERY_PARTIAL,EST,10:25,9.817292583191803,94
M5,DISCOVERY_PARTIAL,EST,10:30,15.947283172074249,94
M5,DISCOVERY_PARTIAL,EST,10:35,13.103166605045793,94
M5,DISCOVERY_PARTIAL,EST,10:40,12.626223682656075,94
M5,DISCOVERY_PARTIAL,EST,10:45,8.798451982730349,94
M5,DISCOVERY_PARTIAL,EST,10:50,8.978611666913757,94
M5,DISCOVERY_PARTIAL,EST,10:55,9.465463452630154,94
M5,DISCOVERY_PARTIAL,EST,11:00,9.531589494411582,94
M5,DISCOVERY_PARTIAL,EST,11:05,9.794129288558562,94
M5,DISCOVERY_PARTIAL,EST,11:10,10.515321014260891,94
M5,DISCOVERY_PARTIAL,EST,11:15,10.008397311647037,94
M5,DISCOVERY_PARTIAL,EST,11:20,8.179834436871552,94
M5,DISCOVERY_PARTIAL,EST,11:25,9.947574116200604,94
M5,DISCOVERY_PARTIAL,EST,11:30,14.518119610840152,94
M5,DISCOVERY_PARTIAL,EST,11:35,9.684547912657425,94
M5,DISCOVERY_PARTIAL,EST,11:40,12.404415854702243,94
M5,DISCOVERY_PARTIAL,EST,11:45,9.274984569084916,94
M5,DISCOVERY_PARTIAL,EST,11:50,9.913346529947125,94
M5,DISCOVERY_PARTIAL,EST,11:55,8.71297365105439,94
M5,DISCOVERY_PARTIAL,EST,12:00,10.389130366083354,94
M5,DISCOVERY_PARTIAL,EST,12:05,8.16734707800395,94
M5,DISCOVERY_PARTIAL,EST,12:10,9.036631390607443,94
M5,DISCOVERY_PARTIAL,EST,12:15,7.466872251911068,94
M5,DISCOVERY_PARTIAL,EST,12:20,9.164434656337358,94
M5,DISCOVERY_PARTIAL,EST,12:25,7.507338888913907,94
M5,DISCOVERY_PARTIAL,EST,12:30,8.237467997695482,94
M5,DISCOVERY_PARTIAL,EST,12:35,7.715518969295109,94
M5,DISCOVERY_PARTIAL,EST,12:40,8.659937338701383,94
M5,DISCOVERY_PARTIAL,EST,12:45,6.5927821852926165,94
M5,DISCOVERY_PARTIAL,EST,12:50,6.788497762120004,94
M5,DISCOVERY_PARTIAL,EST,12:55,6.958913029629637,94
M5,DISCOVERY_PARTIAL,EST,13:00,6.776698553908434,94
M5,DISCOVERY_PARTIAL,EST,13:05,7.380247489386902,94
M5,DISCOVERY_PARTIAL,EST,13:10,6.524006034038798,94
M5,DISCOVERY_PARTIAL,EST,13:15,6.276438354012286,94
M5,DISCOVERY_PARTIAL,EST,13:20,5.591320453052466,94
M5,DISCOVERY_PARTIAL,EST,13:25,5.856259325681395,94
M5,DISCOVERY_PARTIAL,EST,13:30,6.704556711361467,94
M5,DISCOVERY_PARTIAL,EST,13:35,5.5509144450842935,94
M5,DISCOVERY_PARTIAL,EST,13:40,5.954897614103318,94
M5,DISCOVERY_PARTIAL,EST,13:45,6.06250939568092,94
M5,DISCOVERY_PARTIAL,EST,13:50,5.184880076717641,94
M5,DISCOVERY_PARTIAL,EST,13:55,6.110753014504213,94
M5,DISCOVERY_PARTIAL,EST,14:00,5.55801207643471,94
M5,DISCOVERY_PARTIAL,EST,14:05,5.6938684448303585,94
M5,DISCOVERY_PARTIAL,EST,14:10,6.78193089740373,94
M5,DISCOVERY_PARTIAL,EST,14:15,6.006931511089241,94
M5,DISCOVERY_PARTIAL,EST,14:20,5.481881665867601,94
M5,DISCOVERY_PARTIAL,EST,14:25,5.92689833163337,94
M5,DISCOVERY_PARTIAL,EST,14:30,5.122000879275653,94
M5,DISCOVERY_PARTIAL,EST,14:35,6.213067156363834,94
M5,DISCOVERY_PARTIAL,EST,14:40,5.938394284315623,94
M5,DISCOVERY_PARTIAL,EST,14:45,5.944787618842388,94
M5,DISCOVERY_PARTIAL,EST,14:50,5.643462835144452,94
M5,DISCOVERY_PARTIAL,EST,14:55,4.786852892507179,94
M5,DISCOVERY_PARTIAL,EST,15:00,7.663553259956973,94
M5,DISCOVERY_PARTIAL,EST,15:05,6.125489085123953,94
M5,DISCOVERY_PARTIAL,EST,15:10,6.235207138059084,94
M5,DISCOVERY_PARTIAL,EST,15:15,5.514187885698793,94
M5,DISCOVERY_PARTIAL,EST,15:20,6.418530527903568,94
M5,DISCOVERY_PARTIAL,EST,15:25,6.035940903108845,94
M5,DISCOVERY_PARTIAL,EST,15:30,6.175139710035539,94
M5,DISCOVERY_PARTIAL,EST,15:35,5.01812065734615,94
M5,DISCOVERY_PARTIAL,EST,15:40,5.661526050497651,94
M5,DISCOVERY_PARTIAL,EST,15:45,4.30109067513183,94
M5,DISCOVERY_PARTIAL,EST,15:50,5.224959482624885,94
M5,DISCOVERY_PARTIAL,EST,15:55,5.182569957321723,94
M5,DISCOVERY_PARTIAL,EST,16:00,6.3213094443603675,94
M5,DISCOVERY_PARTIAL,EST,16:05,6.056409227273656,94
M5,DISCOVERY_PARTIAL,EST,16:10,6.750421788427118,94
M5,DISCOVERY_PARTIAL,EST,16:15,5.563607944541659,94
M5,DISCOVERY_PARTIAL,EST,16:20,5.5099945618412,94
M5,DISCOVERY_PARTIAL,EST,16:25,6.12643897228906,94
M5,DISCOVERY_PARTIAL,EST,16:30,5.555627512002969,94
M5,DISCOVERY_PARTIAL,EST,16:35,5.503266003241798,94
M5,DISCOVERY_PARTIAL,EST,16:40,5.785212643014126,94
M5,DISCOVERY_PARTIAL,EST,16:45,5.3474095256858005,94
M5,DISCOVERY_PARTIAL,EST,16:50,5.711518946681093,94
M5,DISCOVERY_PARTIAL,EST,16:55,5.662815608434479,94
M5,DISCOVERY_PARTIAL,EST,17:00,6.7081048481380305,94
M5,DISCOVERY_PARTIAL,EST,17:05,5.177835176377055,94
M5,DISCOVERY_PARTIAL,EST,17:10,4.816446829994203,94
M5,DISCOVERY_PARTIAL,EST,17:15,5.314471343088589,94
M5,DISCOVERY_PARTIAL,EST,17:20,4.702510621634371,94
M5,DISCOVERY_PARTIAL,EST,17:25,3.941552502378529,94
M5,DISCOVERY_PARTIAL,EST,17:30,6.811611363591473,94
M5,DISCOVERY_PARTIAL,EST,17:35,6.358656328202445,94
M5,DISCOVERY_PARTIAL,EST,17:40,5.696484381184523,94
M5,DISCOVERY_PARTIAL,EST,17:45,5.678351519550608,94
M5,DISCOVERY_PARTIAL,EST,17:50,5.399457841756762,94
M5,DISCOVERY_PARTIAL,EST,17:55,5.138104580003585,94
M5,DISCOVERY_PARTIAL,EST,18:00,5.985124473641801,94
M5,DISCOVERY_PARTIAL,EST,18:05,5.062240685266012,94
M5,DISCOVERY_PARTIAL,EST,18:10,4.836091347942084,94
M5,DISCOVERY_PARTIAL,EST,18:15,5.187825333199143,94
M5,DISCOVERY_PARTIAL,EST,18:20,7.769469224130874,94
M5,DISCOVERY_PARTIAL,EST,18:25,3.555344868452215,1
M5,CONFIRM,ALL,09:05,8.755750893935385,249
M5,CONFIRM,ALL,09:10,6.991955144384979,249
M5,CONFIRM,ALL,09:15,6.280753314703377,249
M5,CONFIRM,ALL,09:20,5.994589900143583,249
M5,CONFIRM,ALL,09:25,5.158701459858426,249
M5,CONFIRM,ALL,09:30,8.488470736802384,249
M5,CONFIRM,ALL,09:35,5.42385702010467,249
M5,CONFIRM,ALL,09:40,5.546247838306312,249
M5,CONFIRM,ALL,09:45,5.070476731208004,249
